ID,Name,StudyHours,Attendance,Marks,Grades,Result,PerformanceScore
53,Student_53,9.5,66,91.1,A,Pass,72.3
54,Student_54,9.1,63,52.5,D,Pass,44.9
55,Student_55,6.4,80,95.8,A,Pass,76.3
56,Student_56,9.3,73,47.0,D,Pass,42.1
57,Student_57,1.8,84,89.0,B,Pass,71.1
58,Student_58,2.8,93,62.8,C,Pass,53.8
59,Student_59,1.4,94,92.7,A,Pass,74.6
60,Student_60,3.9,83,92.1,A,Pass,73.6
61,Student_61,4.5,52,88.4,B,Pass,68.0
62,Student_62,3.4,86,87.4,B,Pass,70.5
63,Student_63,8.5,92,58.3,D,Pass,51.7
64,Student_64,4.2,89,44.9,D,Pass,41.2
65,Student_65,3.5,75,64.2,C,Pass,53.1
66,Student_66,5.9,72,50.4,D,Pass,43.7
67,Student_67,2.3,93,81.7,C,Pass,66.9
68,Student_68,8.2,88,60.8,C,Pass,53.0
69,Student_69,1.7,64,98.5,A,Pass,75.7
70,Student_70,9.9,98,78.5,C,Pass,66.7
71,Student_71,8.0,53,89.3,B,Pass,69.4
72,Student_72,2.8,78,48.0,D,Pass,42.0
73,Student_73,1.0,71,91.7,A,Pass,71.5
74,Student_74,8.3,74,95.4,A,Pass,75.8
75,Student_75,7.4,62,69.2,C,Pass,56.1
76,Student_76,7.6,67,76.4,C,Pass,61.7
77,Student_77,7.9,82,85.9,B,Pass,69.9
78,Student_78,1.7,65,50.5,D,Pass,42.2
79,Student_79,4.2,94,70.2,C,Pass,59.4
80,Student_80,2.0,91,63.9,C,Pass,54.2
81,Student_81,8.8,93,48.8,D,Pass,45.2
82,Student_82,6.6,51,62.1,C,Pass,49.9
83,Student_83,4.0,84,70.0,C,Pass,58.2
84,Student_84,1.6,91,41.5,D,Pass,38.5
85,Student_85,3.8,83,48.1,D,Pass,42.7
86,Student_86,3.9,79,97.8,A,Pass,77.1
87,Student_87,7.6,62,73.0,C,Pass,58.8
88,Student_88,6.7,62,97.9,A,Pass,76.1
89,Student_89,9.0,67,65.9,C,Pass,54.6
90,Student_90,5.2,81,58.7,D,Pass,50.2
91,Student_91,2.1,81,70.4,C,Pass,57.8
92,Student_92,7.4,84,66.4,C,Pass,56.4
93,Student_93,7.8,88,46.3,D,Pass,42.8
94,Student_94,6.1,95,78.4,C,Pass,65.6
95,Student_95,7.9,78,53.0,D,Pass,46.5
96,Student_96,5.4,98,77.2,C,Pass,64.9
97,Student_97,5.7,78,79.0,C,Pass,64.2
98,Student_98,4.8,93,49.1,D,Pass,44.6
99,Student_99,1.2,65,43.7,D,Pass,37.3
100,Student_100,2.0,93,86.8,B,Pass,70.5
101,Student_101,1.3,96,70.0,C,Pass,58.9
102,Student_102,6.7,59,43.5,D,Pass,37.7
103,Student_103,3.8,79,99.7,A,Pass,78.4
104,Student_104,5.6,74,43.5,D,Pass,39.0
105,Student_105,9.2,88,81.7,C,Pass,67.8
106,Student_106,3.2,69,99.0,A,Pass,76.8
107,Student_107,4.7,54,54.4,D,Pass,44.4
108,Student_108,7.8,50,48.5,D,Pass,40.5
109,Student_109,3.1,79,47.3,D,Pass,41.6
110,Student_110,1.7,98,58.2,D,Pass,50.9
111,Student_111,3.6,52,46.1,D,Pass,38.2
112,Student_112,2.5,94,81.5,C,Pass,67.0
113,Student_113,9.4,63,43.7,D,Pass,38.8
114,Student_114,8.3,79,70.6,C,Pass,59.0
115,Student_115,6.7,99,99.8,A,Pass,81.1
116,Student_116,8.8,53,88.8,B,Pass,69.2
117,Student_117,8.2,67,76.9,C,Pass,62.2
118,Student_118,2.7,86,58.4,D,Pass,50.0
119,Student_119,9.0,74,77.4,C,Pass,63.4
120,Student_120,5.9,97,71.6,C,Pass,61.0
121,Student_121,8.3,50,65.6,C,Pass,52.6
122,Student_122,9.1,95,47.8,D,Pass,44.8
123,Student_123,3.9,64,93.2,A,Pass,72.4
124,Student_124,2.0,58,67.0,C,Pass,53.1
125,Student_125,3.1,64,51.7,D,Pass,43.2
126,Student_126,4.8,98,62.1,C,Pass,54.2
127,Student_127,8.4,73,64.8,C,Pass,54.3
128,Student_128,8.7,53,89.7,B,Pass,69.8
129,Student_129,1.1,61,84.0,C,Pass,65.1
130,Student_130,5.6,86,86.2,B,Pass,70.1
131,Student_131,4.8,86,40.7,D,Pass,38.0
132,Student_132,3.0,92,65.0,C,Pass,55.3
133,Student_133,2.1,55,68.9,C,Pass,54.2
134,Student_134,4.0,88,41.2,D,Pass,38.4
135,Student_135,9.5,95,55.6,D,Pass,50.3
136,Student_136,3.9,73,85.6,B,Pass,68.0
137,Student_137,5.7,60,70.0,C,Pass,56.1
138,Student_138,7.3,62,72.1,C,Pass,58.1
139,Student_139,4.3,83,52.9,D,Pass,46.2
140,Student_140,9.7,74,40.7,D,Pass,37.8
141,Student_141,9.7,56,70.0,C,Pass,56.5
142,Student_142,3.3,53,98.6,A,Pass,75.0
143,Student_143,5.5,57,88.1,B,Pass,68.5
144,Student_144,3.7,69,97.6,A,Pass,76.0
145,Student_145,3.6,78,69.3,C,Pass,57.0
146,Student_146,1.3,100,46.6,D,Pass,42.9
147,Student_147,6.5,94,72.9,C,Pass,61.7
148,Student_148,5.5,95,67.3,C,Pass,57.7
149,Student_149,1.5,59,90.7,A,Pass,69.7
150,Student_150,3.5,92,45.9,D,Pass,42.0
151,Student_151,9.2,83,69.3,C,Pass,58.6
152,Student_152,3.2,75,49.0,D,Pass,42.4
153,Student_153,2.3,90,59.5,D,Pass,51.1
154,Student_154,5.4,98,84.2,C,Pass,69.8
155,Student_155,9.9,52,68.6,C,Pass,55.2
156,Student_156,3.2,55,62.6,C,Pass,50.0
157,Student_157,7.0,54,70.0,C,Pass,55.8
158,Student_158,7.9,54,67.6,C,Pass,54.3
159,Student_159,3.1,96,87.1,B,Pass,71.2
160,Student_160,7.6,72,93.5,A,Pass,74.2
161,Student_161,4.3,98,97.3,A,Pass,78.8
162,Student_162,6.7,58,87.2,B,Pass,68.2
163,Student_163,6.7,84,58.9,D,Pass,51.0
164,Student_164,5.8,69,81.3,C,Pass,65.0
165,Student_165,1.8,98,66.3,C,Pass,56.6
166,Student_166,8.5,91,55.3,D,Pass,49.5
167,Student_167,3.9,84,90.5,A,Pass,72.5
168,Student_168,2.7,99,42.3,D,Pass,40.0
169,Student_169,1.4,67,94.1,A,Pass,72.8
170,Student_170,6.3,66,67.7,C,Pass,55.2
171,Student_171,7.1,73,78.2,C,Pass,63.5
172,Student_172,1.1,52,79.6,C,Pass,61.1
173,Student_173,5.6,81,93.7,A,Pass,74.8
174,Student_174,3.0,84,78.2,C,Pass,63.7
175,Student_175,6.8,87,70.0,C,Pass,59.1
176,Student_176,2.6,62,44.0,D,Pass,37.5
177,Student_177,7.2,96,70.0,C,Pass,60.0
178,Student_178,4.5,74,49.0,D,Pass,42.6
179,Student_179,9.4,58,84.2,C,Pass,66.6
180,Student_180,2.2,53,70.7,C,Pass,55.2
181,Student_181,4.1,63,80.8,C,Pass,63.7
182,Student_182,2.0,86,42.5,D,Pass,38.7
183,Student_183,9.3,83,45.1,D,Pass,41.7
184,Student_184,8.9,60,83.0,C,Pass,65.9
185,Student_185,3.3,90,44.3,D,Pass,40.7
186,Student_186,6.9,52,44.3,D,Pass,37.6
187,Student_187,8.4,77,40.7,D,Pass,37.9
188,Student_188,6.0,78,97.4,A,Pass,77.2
189,Student_189,5.8,58,84.3,C,Pass,66.0
190,Student_190,3.2,52,61.2,C,Pass,48.7
191,Student_191,1.8,74,57.8,D,Pass,48.2
192,Student_192,9.1,83,61.0,C,Pass,52.8
193,Student_193,9.1,61,86.5,B,Pass,68.5
194,Student_194,6.7,91,79.7,C,Pass,66.2
195,Student_195,4.1,58,51.1,D,Pass,42.4
196,Student_196,4.1,64,50.4,D,Pass,42.5
197,Student_197,7.5,89,45.9,D,Pass,42.5
198,Student_198,9.1,74,70.0,C,Pass,58.2
199,Student_199,9.0,54,85.9,B,Pass,67.3
200,Student_200,8.0,60,55.9,D,Pass,46.7
201,Student_201,6.8,83,41.3,D,Pass,38.6
202,Student_202,1.8,73,44.9,D,Pass,39.1
203,Student_203,2.5,64,98.1,A,Pass,75.6
204,Student_204,9.1,87,57.7,D,Pass,50.9
205,Student_205,6.5,57,86.2,B,Pass,67.3
206,Student_206,1.1,54,77.5,C,Pass,59.9
207,Student_207,1.9,97,62.9,C,Pass,54.1
208,Student_208,7.0,75,52.3,D,Pass,45.5
209,Student_209,1.0,67,47.3,D,Pass,40.0
210,Student_210,2.4,55,76.9,C,Pass,59.8
211,Student_211,5.9,86,86.5,B,Pass,70.3
212,Student_212,7.2,97,78.6,C,Pass,66.2
213,Student_213,6.9,62,71.8,C,Pass,57.8
214,Student_214,3.0,77,42.5,D,Pass,38.0
215,Student_215,7.4,54,98.1,A,Pass,75.6
216,Student_216,3.1,62,87.9,B,Pass,68.4
217,Student_217,3.9,66,57.6,D,Pass,47.7
218,Student_218,7.7,99,70.0,C,Pass,60.4
219,Student_219,6.8,89,76.1,C,Pass,63.5
220,Student_220,8.6,94,74.9,C,Pass,63.6
221,Student_221,6.9,81,84.9,C,Pass,68.9
222,Student_222,6.1,78,88.7,B,Pass,71.1
223,Student_223,1.8,100,79.4,C,Pass,65.9
224,Student_224,4.3,52,47.7,D,Pass,39.4
225,Student_225,3.4,89,60.3,C,Pass,51.8
226,Student_226,3.2,83,95.7,A,Pass,75.9
227,Student_227,9.8,89,53.5,D,Pass,48.3
228,Student_228,4.5,76,62.3,C,Pass,52.1
229,Student_229,9.0,62,65.9,C,Pass,54.1
230,Student_230,6.7,94,66.4,C,Pass,57.2
231,Student_231,8.2,82,76.8,C,Pass,63.6
232,Student_232,5.5,55,96.6,A,Pass,74.2
233,Student_233,6.2,73,54.4,D,Pass,46.6
234,Student_234,5.4,68,47.3,D,Pass,41.0
235,Student_235,2.8,65,70.0,C,Pass,56.1
236,Student_236,7.5,89,93.2,A,Pass,75.6
237,Student_237,3.5,77,78.7,C,Pass,63.5
238,Student_238,1.2,82,57.2,D,Pass,48.5
239,Student_239,6.8,97,89.0,B,Pass,73.4
240,Student_240,2.6,90,91.7,A,Pass,73.7
241,Student_241,9.5,62,90.8,A,Pass,71.7
242,Student_242,9.6,92,95.1,A,Pass,77.7
243,Student_243,9.2,94,55.1,D,Pass,49.8
244,Student_244,4.3,74,85.3,B,Pass,68.0
245,Student_245,1.1,91,67.6,C,Pass,56.6
246,Student_246,9.4,85,90.5,A,Pass,73.7
247,Student_247,4.9,76,83.7,C,Pass,67.2
248,Student_248,9.7,87,86.6,B,Pass,71.3
249,Student_249,9.7,56,79.4,C,Pass,63.1
250,Student_250,8.7,54,50.6,D,Pass,42.6
251,Student_251,3.7,92,72.7,C,Pass,60.8
252,Student_252,4.5,94,99.1,A,Pass,79.7
253,Student_253,8.7,100,96.2,A,Pass,79.1
254,Student_254,3.9,80,42.6,D,Pass,38.6
255,Student_255,2.5,72,49.9,D,Pass,42.6
256,Student_256,6.0,91,47.9,D,Pass,43.8
257,Student_257,9.4,59,83.6,C,Pass,66.3
258,Student_258,7.3,81,89.1,B,Pass,71.9
259,Student_259,6.1,92,52.8,D,Pass,47.4
260,Student_260,1.9,79,70.4,C,Pass,57.6
261,Student_261,6.5,88,90.4,A,Pass,73.4
262,Student_262,9.9,80,84.0,C,Pass,68.8
263,Student_263,2.3,67,72.5,C,Pass,57.9
264,Student_264,5.7,85,75.4,C,Pass,62.4
265,Student_265,8.9,51,70.5,C,Pass,56.2
266,Student_266,7.7,63,57.9,D,Pass,48.4
267,Student_267,7.3,62,73.9,C,Pass,59.4
268,Student_268,7.3,78,81.3,C,Pass,66.2
269,Student_269,4.2,61,92.4,A,Pass,71.6
270,Student_270,3.6,88,78.2,C,Pass,64.3
271,Student_271,8.3,51,85.7,B,Pass,66.7
272,Student_272,8.3,81,49.6,D,Pass,44.5
273,Student_273,8.8,62,67.7,C,Pass,55.4
274,Student_274,9.2,95,40.6,D,Pass,39.8
275,Student_275,5.6,76,54.8,D,Pass,47.1
276,Student_276,5.5,98,83.6,C,Pass,69.4
277,Student_277,8.2,90,99.5,A,Pass,80.3
278,Student_278,6.8,66,46.0,D,Pass,40.2
279,Student_279,7.3,89,64.1,C,Pass,55.2
280,Student_280,8.2,80,88.0,B,Pass,71.2
281,Student_281,9.0,83,52.2,D,Pass,46.6
282,Student_282,4.0,73,73.3,C,Pass,59.4
283,Student_283,4.4,94,84.0,C,Pass,69.1
284,Student_284,1.8,84,77.0,C,Pass,62.7
285,Student_285,6.2,97,51.3,D,Pass,46.8
286,Student_286,1.3,55,61.3,C,Pass,48.7
287,Student_287,5.2,68,87.0,B,Pass,68.7
288,Student_288,5.9,79,73.3,C,Pass,60.4
289,Student_289,3.6,56,40.3,D,Pass,34.5
290,Student_290,6.3,59,85.7,B,Pass,67.2
291,Student_291,1.3,90,42.1,D,Pass,38.7
292,Student_292,1.3,81,84.7,C,Pass,67.6
293,Student_293,8.4,83,52.1,D,Pass,46.4
294,Student_294,4.2,77,97.5,A,Pass,76.8
295,Student_295,2.1,64,62.1,C,Pass,50.3
296,Student_296,5.7,79,59.6,D,Pass,50.8
297,Student_297,7.9,86,48.9,D,Pass,44.4
298,Student_298,2.9,78,58.3,D,Pass,49.2
299,Student_299,6.6,71,92.6,A,Pass,73.2
300,Student_300,1.8,53,99.8,A,Pass,75.5
301,Student_301,1.5,69,62.1,C,Pass,50.7
302,Student_302,5.8,81,66.9,C,Pass,56.1
303,Student_303,5.9,85,83.3,C,Pass,68.0
304,Student_304,6.7,99,93.2,A,Pass,76.5
305,Student_305,7.5,53,75.6,C,Pass,59.7
306,Student_306,9.8,76,63.5,C,Pass,54.0
307,Student_307,5.6,66,64.8,C,Pass,53.1
308,Student_308,3.9,61,81.7,C,Pass,64.1
309,Student_309,8.2,71,40.2,D,Pass,36.9
310,Student_310,3.4,66,77.2,C,Pass,61.3
311,Student_311,5.0,59,61.3,C,Pass,49.8
312,Student_312,1.7,50,87.7,B,Pass,66.7
313,Student_313,1.2,71,45.6,D,Pass,39.3
314,Student_314,9.7,75,75.3,C,Pass,62.1
315,Student_315,8.5,67,68.9,C,Pass,56.6
316,Student_316,7.3,99,78.5,C,Pass,66.3
317,Student_317,4.7,63,43.9,D,Pass,38.0
318,Student_318,2.6,96,74.8,C,Pass,62.5
319,Student_319,2.4,78,73.7,C,Pass,59.9
320,Student_320,3.3,61,73.6,C,Pass,58.3
321,Student_321,5.9,85,76.2,C,Pass,63.0
322,Student_322,7.4,84,80.6,C,Pass,66.3
323,Student_323,6.9,61,88.3,B,Pass,69.3
324,Student_324,3.5,56,56.2,D,Pass,45.6
325,Student_325,9.6,78,89.5,B,Pass,72.4
326,Student_326,7.6,60,69.9,C,Pass,56.4
327,Student_327,6.0,82,44.6,D,Pass,40.6
328,Student_328,6.5,55,43.5,D,Pass,37.2
329,Student_329,4.8,96,60.1,C,Pass,52.6
330,Student_330,3.2,64,87.1,B,Pass,68.0
331,Student_331,4.2,81,82.5,C,Pass,66.7
332,Student_332,7.8,100,87.3,B,Pass,72.7
333,Student_333,1.1,60,71.0,C,Pass,55.9
334,Student_334,2.0,72,66.4,C,Pass,54.1
335,Student_335,1.4,75,48.8,D,Pass,41.9
336,Student_336,1.4,83,59.7,D,Pass,50.4
337,Student_337,8.7,95,66.0,C,Pass,57.4
338,Student_338,7.3,83,45.3,D,Pass,41.5
339,Student_339,5.3,78,53.2,D,Pass,46.1
340,Student_340,1.9,53,75.9,C,Pass,58.8
341,Student_341,5.4,66,84.1,C,Pass,66.5
342,Student_342,5.3,84,99.9,A,Pass,79.4
343,Student_343,2.6,62,96.0,A,Pass,73.9
344,Student_344,4.9,90,78.6,C,Pass,65.0
345,Student_345,4.6,88,65.3,C,Pass,55.4
346,Student_346,6.5,64,78.2,C,Pass,62.4
347,Student_347,6.7,78,87.1,B,Pass,70.1
348,Student_348,1.4,78,47.1,D,Pass,41.0
349,Student_349,4.4,60,64.6,C,Pass,52.1
350,Student_350,6.6,81,90.4,A,Pass,72.7
351,Student_351,5.5,51,63.0,C,Pass,50.3
352,Student_352,8.7,96,74.3,C,Pass,63.4
353,Student_353,6.9,63,75.3,C,Pass,60.4
354,Student_354,2.5,69,51.1,D,Pass,43.2
355,Student_355,1.6,71,61.7,C,Pass,50.6
356,Student_356,6.8,60,60.1,C,Pass,49.4
357,Student_357,1.2,76,41.6,D,Pass,37.0
358,Student_358,6.3,52,41.5,D,Pass,35.5
359,Student_359,9.5,66,89.9,B,Pass,71.4
360,Student_360,6.2,93,56.4,D,Pass,50.0
361,Student_361,4.5,77,71.1,C,Pass,58.4
362,Student_362,6.8,78,57.9,D,Pass,49.7
363,Student_363,5.1,70,96.4,A,Pass,75.5
364,Student_364,5.9,96,55.6,D,Pass,49.7
365,Student_365,9.5,65,65.8,C,Pass,54.5
366,Student_366,4.5,86,92.4,A,Pass,74.2
367,Student_367,9.7,69,90.5,A,Pass,72.2
368,Student_368,9.1,55,51.2,D,Pass,43.2
369,Student_369,2.8,68,88.2,B,Pass,69.1
370,Student_370,1.6,54,67.5,C,Pass,53.0
371,Student_371,1.9,52,69.0,C,Pass,53.9
372,Student_372,1.2,50,48.0,D,Pass,38.8
373,Student_373,1.8,87,44.8,D,Pass,40.4
374,Student_374,7.1,64,83.7,C,Pass,66.4
375,Student_375,1.6,83,69.8,C,Pass,57.5
376,Student_376,3.9,84,66.2,C,Pass,55.5
377,Student_377,8.6,98,83.8,C,Pass,70.2
378,Student_378,1.2,74,85.9,B,Pass,67.8
379,Student_379,8.3,73,49.5,D,Pass,43.6
380,Student_380,3.5,61,76.6,C,Pass,60.4
381,Student_381,2.1,67,48.1,D,Pass,40.8
382,Student_382,7.3,64,85.1,B,Pass,67.4
383,Student_383,6.7,93,79.4,C,Pass,66.2
384,Student_384,8.9,65,97.4,A,Pass,76.5
385,Student_385,7.6,76,44.1,D,Pass,40.0
386,Student_386,8.2,57,43.4,D,Pass,37.7
387,Student_387,3.5,95,56.9,D,Pass,50.0
388,Student_388,2.6,74,55.7,D,Pass,46.9
389,Student_389,7.8,66,54.8,D,Pass,46.5
390,Student_390,8.3,78,94.4,A,Pass,75.5
391,Student_391,9.9,57,55.0,D,Pass,46.2
392,Student_392,4.7,64,56.3,D,Pass,46.7
393,Student_393,4.3,76,85.6,B,Pass,68.4
394,Student_394,8.0,95,67.0,C,Pass,58.0
395,Student_395,4.1,99,86.6,B,Pass,71.3
396,Student_396,9.4,56,43.9,D,Pass,38.2
397,Student_397,8.7,52,69.3,C,Pass,55.4
398,Student_398,4.9,78,42.0,D,Pass,38.2
399,Student_399,7.8,93,43.8,D,Pass,41.5
400,Student_400,7.8,73,94.4,A,Pass,74.9
401,Student_401,1.9,52,70.0,C,Pass,54.6
402,Student_402,9.1,69,71.9,C,Pass,59.0
403,Student_403,5.5,95,64.7,C,Pass,55.9
404,Student_404,8.4,64,60.8,C,Pass,50.6
405,Student_405,3.9,74,94.0,A,Pass,74.0
406,Student_406,9.1,79,41.3,D,Pass,38.6
407,Student_407,4.5,63,79.8,C,Pass,63.1
408,Student_408,1.1,56,97.8,A,Pass,74.3
409,Student_409,9.1,66,73.6,C,Pass,59.9
410,Student_410,1.8,93,96.2,A,Pass,77.0
411,Student_411,3.9,69,43.1,D,Pass,37.8
412,Student_412,9.6,85,65.1,C,Pass,56.0
413,Student_413,9.6,58,55.6,D,Pass,46.6
414,Student_414,6.2,87,83.8,C,Pass,68.6
415,Student_415,6.7,97,98.9,A,Pass,80.3
416,Student_416,5.0,71,55.4,D,Pass,46.9
417,Student_417,3.6,51,79.3,C,Pass,61.3
418,Student_418,4.0,73,51.9,D,Pass,44.4
419,Student_419,7.1,57,73.9,C,Pass,58.9
420,Student_420,7.8,60,67.8,C,Pass,55.0
421,Student_421,8.1,62,70.0,C,Pass,56.8
422,Student_422,8.1,66,76.5,C,Pass,61.8
423,Student_423,1.8,57,61.0,C,Pass,48.8
424,Student_424,5.4,70,46.8,D,Pass,40.8
425,Student_425,1.5,67,49.1,D,Pass,41.4
426,Student_426,5.9,79,53.5,D,Pass,46.5
427,Student_427,5.0,67,55.1,D,Pass,46.3
428,Student_428,9.0,95,70.0,C,Pass,60.3
429,Student_429,4.2,96,73.7,C,Pass,62.0
430,Student_430,2.1,80,71.4,C,Pass,58.4
431,Student_431,2.3,87,46.9,D,Pass,42.0
432,Student_432,7.9,81,91.6,A,Pass,73.8
433,Student_433,6.6,60,83.4,C,Pass,65.7
434,Student_434,1.9,94,44.1,D,Pass,40.6
435,Student_435,1.8,74,82.5,C,Pass,65.5
436,Student_436,7.3,82,72.6,C,Pass,60.5
437,Student_437,1.7,87,44.9,D,Pass,40.5
438,Student_438,8.4,90,67.5,C,Pass,57.9
439,Student_439,7.4,57,69.1,C,Pass,55.5
440,Student_440,1.7,60,49.9,D,Pass,41.3
441,Student_441,1.8,71,96.7,A,Pass,75.1
442,Student_442,9.9,100,91.0,A,Pass,75.7
443,Student_443,4.4,73,80.1,C,Pass,64.2
444,Student_444,4.3,90,67.7,C,Pass,57.2
445,Student_445,8.3,66,64.7,C,Pass,53.6
446,Student_446,9.5,61,79.1,C,Pass,63.4
447,Student_447,9.9,95,72.7,C,Pass,62.4
448,Student_448,7.8,81,43.7,D,Pass,40.2
449,Student_449,4.4,64,70.8,C,Pass,56.8
450,Student_450,1.8,65,88.4,B,Pass,68.7
451,Student_451,8.0,71,67.6,C,Pass,56.0
452,Student_452,6.0,77,70.0,C,Pass,57.9
453,Student_453,4.8,69,87.2,B,Pass,68.9
454,Student_454,9.2,82,52.1,D,Pass,46.5
455,Student_455,2.0,59,55.5,D,Pass,45.1
456,Student_456,5.4,89,49.9,D,Pass,44.9
457,Student_457,1.1,81,59.8,D,Pass,50.2
458,Student_458,5.2,99,85.4,B,Pass,70.7
459,Student_459,1.5,82,71.2,C,Pass,58.3
460,Student_460,2.1,51,52.3,D,Pass,42.1
461,Student_461,2.1,82,92.7,A,Pass,73.5
462,Student_462,6.8,82,92.8,A,Pass,74.5
463,Student_463,7.7,90,92.2,A,Pass,75.1
464,Student_464,6.3,62,54.3,D,Pass,45.5
465,Student_465,9.7,79,67.1,C,Pass,56.8
466,Student_466,4.4,82,99.1,A,Pass,78.4
467,Student_467,3.6,62,86.3,B,Pass,67.3
468,Student_468,8.8,75,41.6,D,Pass,38.4
469,Student_469,3.0,71,43.9,D,Pass,38.4
470,Student_470,9.7,88,67.8,C,Pass,58.2
471,Student_471,1.1,51,70.0,C,Pass,54.3
472,Student_472,9.7,87,72.3,C,Pass,61.2
473,Student_473,1.4,88,69.9,C,Pass,58.0
474,Student_474,9.0,75,46.3,D,Pass,41.7
475,Student_475,5.7,95,79.4,C,Pass,66.2
476,Student_476,9.9,99,89.3,B,Pass,74.4
477,Student_477,1.7,64,62.8,C,Pass,50.7
478,Student_478,6.0,83,86.5,B,Pass,70.0
479,Student_479,9.7,91,97.9,A,Pass,79.6
480,Student_480,5.7,93,52.2,D,Pass,47.0
481,Student_481,6.7,98,71.4,C,Pass,61.1
482,Student_482,7.3,89,57.2,D,Pass,50.4
483,Student_483,5.1,60,87.6,B,Pass,68.3
484,Student_484,6.6,52,74.7,C,Pass,58.8
485,Student_485,6.3,55,78.1,C,Pass,61.4
486,Student_486,9.1,58,87.9,B,Pass,69.1
487,Student_487,1.4,55,63.8,C,Pass,50.4
488,Student_488,3.5,58,94.9,A,Pass,72.9
489,Student_489,9.6,88,72.0,C,Pass,61.1
490,Student_490,9.0,80,49.5,D,Pass,44.4
491,Student_491,5.1,81,81.8,C,Pass,66.4
492,Student_492,6.6,90,87.6,B,Pass,71.6
493,Student_493,3.5,99,59.0,D,Pass,51.9
494,Student_494,2.7,61,91.4,A,Pass,70.6
495,Student_495,5.2,57,94.4,A,Pass,72.8
496,Student_496,4.2,57,56.6,D,Pass,46.2
497,Student_497,6.3,99,99.0,A,Pass,80.5
498,Student_498,1.7,77,48.4,D,Pass,41.9
499,Student_499,9.8,69,52.1,D,Pass,45.3
500,Student_500,9.9,96,51.1,D,Pass,47.3
501,Student_501,7.3,56,93.6,A,Pass,72.6
502,Student_502,5.8,60,79.3,C,Pass,62.7
503,Student_503,3.8,69,49.1,D,Pass,42.0
504,Student_504,8.3,65,66.4,C,Pass,54.6
505,Student_505,7.2,53,76.9,C,Pass,60.6
506,Student_506,2.5,55,45.0,D,Pass,37.5
507,Student_507,9.2,71,92.9,A,Pass,74.0
508,Student_508,8.4,75,88.2,B,Pass,70.9
509,Student_509,9.5,52,70.3,C,Pass,56.3
510,Student_510,7.5,90,98.0,A,Pass,79.1
511,Student_511,6.5,91,65.1,C,Pass,56.0
512,Student_512,4.8,63,99.0,A,Pass,76.6
513,Student_513,9.4,60,80.1,C,Pass,64.0
514,Student_514,8.8,67,78.1,C,Pass,63.1
515,Student_515,1.4,61,50.0,D,Pass,41.4
